Sku,Click Cnt,Sale Qty,Live Stock,Initital Stock,Size Count,Offer,Category,Brand,MRP,Special Price,Padded
101478,0,0,2,0,2,Buy 1 Get 1 Free,Bra,,100,0,
101505,0,0,0,0,0,Buy 1 Get 1 Free,Bra,,0,0,
101479,105,2,44,59,3,Buy 2 For 1049,Sportswear,Liberti World,699,0,Padded
101506,207,3,49,45,2,Buy 2 For 1049,Sportswear,Liberti World,699,0,Padded
101480,192,7,224,244,3,Buy 2 For 1049,Sportswear,Liberti World,649,0,Padded
101507,0,0,0,0,0,Buy 2 For 1049,Sportswear,Shyle,999,0,Padded
101481,0,0,0,0,0,Buy 2 For 1049,Sportswear,Shyle,999,0,Padded
101508,0,0,0,0,0,Buy 2 For 1049,Sportswear,Shyle,999,0,Padded
101482,0,0,0,0,0,Buy 2 For 1049,Sportswear,Shyle,999,0,Padded
101509,0,0,0,0,0,Buy 2 For 1049,Sportswear,Shyle,999,0,Padded
101483,0,0,0,0,0,Buy 2 For 1049,Sportswear,Shyle,999,0,Padded
101510,80,7,26,49,3,Buy 2 For 1049,Sportswear,Shyle,999,0,Padded
101484,0,0,-1,0,1,Buy 2 For 1049,Sportswear,Shyle,999,0,Padded
101511,0,0,0,0,0,Buy 2 For 1049,Sportswear,Shyle,999,0,Padded
101485,0,0,0,0,0,Buy 2 For 1049,Sportswear,Shyle,999,0,Padded
101512,176,1,6,0,1,Buy 2 For 1049,Sportswear,Shyle,999,0,Padded
101486,196,2,14,17,1,Buy 2 For 1049,Sportswear,Shyle,999,0,Padded
101513,69,3,78,89,3,Buy 2 For 1049,Sportswear,Shyle,999,0,Padded
101487,23,0,19,20,1,Buy 2 For 1049,Sportswear,Shyle,999,0,Padded
101514,1,0,13,0,3,Buy 2 For 1049,Sportswear,Shyle,999,0,Padded
101488,0,0,0,0,0,Buy 2 For 1049,Sportswear,Shyle,999,0,Padded
101515,0,0,0,0,0,Buy 2 For 1049,Sportswear,Cross & Pearl,599,0,Non-Padded
101489,0,0,0,0,0,Buy 2 For 1049,Sportswear,Shyle,999,0,Padded
101516,343,2,7,12,1,Buy 2 For 1049,Sportswear,Shyle,999,0,Padded
101490,135,0,16,18,1,Buy 2 For 1049,Sportswear,Shyle,999,0,Padded
101517,2,0,18,18,1,Buy 2 For 1049,Sportswear,Shyle,999,0,Padded
101491,0,0,0,0,0,Buy 2 For 1049,Sportswear,Jockey,549,0,Padded
101518,0,0,0,0,0,Buy 2 For 1049,Sportswear,Jockey,549,0,Padded
101492,0,0,0,0,0,Buy 2 For 1049,Sportswear,Jockey,549,0,Padded
101519,0,0,0,0,0,Buy 2 For 1049,Sportswear,Jockey,549,0,Padded
101493,0,0,0,0,0,Buy 2 For 1049,Sportswear,Jockey,199,0,Padded
101520,0,0,0,0,0,Buy 2 For 1049,Sportswear,Jockey,199,0,Padded
101494,0,0,0,0,0,Buy 2 For 1049,Sportswear,Jockey,199,0,Padded
101521,0,0,0,0,0,Buy 2 For 1049,Sportswear,Jockey,199,0,Padded
101495,0,0,0,0,0,Buy 2 For 1049,Sportswear,Jockey,549,0,Padded
101522,0,0,0,0,0,Buy 2 For 1049,Sportswear,Jockey,549,0,Padded
101496,0,0,0,0,0,Buy 2 For 1049,Sportswear,Cross & Pearl,599,0,Non-Padded
101523,0,0,0,0,0,Buy 2 For 1049,Sportswear,Laavian,625,0,Padded
101497,0,0,0,0,0,Buy 2 For 1049,Sportswear,Laavian,625,0,Padded
101524,0,0,0,0,0,Buy 2 For 1049,Sportswear,Amante,995,0,Non-Padded
101498,0,0,3,0,1,Buy 2 For 1049,Sportswear,Shyle,999,0,Padded
101525,0,0,0,0,0,Buy 2 For 1049,Sportswear,Shyle,999,0,Padded
101499,0,0,0,0,0,Buy 2 For 1049,Sportswear,Shyle,999,0,Padded
